Name,Status,Price,Stars,Ratings,URL,UPC
Razer x Pokémon Eevee Blackwidow TKL Wired Mechanical Keyboard Green Switch,Brand New,"3,809,895.99 VND",Ope,Sponsored,https://www.ebay.com/itm/115272359631?_skw=keyboard&itmmeta=01JD4YM3WGAC7C00MGKBBC9SN8&hash=item1ad6c49ecf%3Ag%3AnRAAAOSwlnBkHDVT&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKlQDN8H7rOo1VIhvAjhCy2lnfXAvmEEzRG8qtGs1rXuKhlKrC6ceGUBvAUe9tKsNKUaI5biMxdxrleiPrx75dwGTJager0AESS74wWUFUcaaM3PuBrLD7wfjEm6diHRiw%2BtYRH%2B9Ry0K5R43H%2BiaY1SADYnAUn%2ByldulP3Pnx1OMXq%2BiRYOLmmTRMTSIdWjNAHZENPvPqxYleSqw2cqb1ansukDOILg5z%2FfQSOO9KprMRf8fD9cxVZabKWM9SL%2FBeMxd8kvyA88xACxLd9tpeZQ%7Ctkp%3ABFBMwL7Qnulk&var=415305021234,
"🍎Apple Magic Keyboard Wireless, Silver/White Keys ,MK2A3LL/A",Open Box,"1,268,779.95 VND",Ope,Sponsored,https://www.ebay.com/itm/134993569940?_skw=keyboard&epid=7048636484&itmmeta=01JD4YM3WHQ5RK4DP5JYPQGJNN&hash=item1f6e3e6894:g:I8oAAOSwRytmAsXU&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKn3BVo9iXOhuk73dlGIECw186RlRhA59nzO31K9ws9ksn5KvtFcGO4GxgEvdxgTvG5DEG8MOJtK8l6Yv3oa6LAYUp20J7jc320vK0TqAfuPTGFEpZPiIrsfpZpxOad54rrETEljjwjKJTwg1vTzMR%2Fy6Z4NWNUTnGH3PNVcOwHD4Y9OZbPIBugbDEam9%2FDlk6xlKQD3PNjTqzViYe3J8nMmkSftpjT6Ak0P7gIUAC4gNQ%3D%3D%7Ctkp%3ABk9SR8K-0J7pZA,
104 Pcs Mechanical Keyboard Keycaps Set OEM Backlit Two-Color ABS Purple Key Cap,Brand New,"202,953.99 VND",Ope,Sponsored,https://www.ebay.com/itm/195691460285?_skw=keyboard&itmmeta=01JD4YM3WHT6BSE20D1XG81AWX&hash=item2d901eb6bd%3Ag%3AoDAAAOSwLulkKHaT&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKmPz3cn6H12sAZ3LruQ%2FiOdst341BllMYXdrloMn%2FwMiz8uedKmi%2FqA0p2wGTey4SiubSkUOibFKcdvcBdq%2FzpIe%2Bk3B4izbeNNKHjHWDjZOj%2BcVi44RfLKNh5GTlsA7JR4ZeOL2VW3qxZCMtbe7kly33mH2EMkv%2FxheDMmr3iPbd7wmPM5G2V2mDDOfsUpVMcMzwlVWpCY3xYnk1C2OaAh8ud8RYxfxA%2F5cHmw%2FCbAig%3D%3D%7Ctkp%3ABk9SR8K-0J7pZA&var=496012712703,
Razer x A Bathing Ape BlackWidow V3 Chroma Green Switch Mechanical Keyboard,Open Box,"4,571,925.99 VND",Ope,Sponsored,https://www.ebay.com/itm/115924013305?_skw=keyboard&itmmeta=01JD4YM3WT50F9XYG172F69BVJ&hash=item1afd9c10f9:g:O60AAOSwl-VlED4Z&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkrOQIH4zJ6j%2BtmWHKNEp5yKhMZlMy8WwgK%2B9OBme0DwyAP6Bz8Z0%2FNwp5VShEcoDezTaZKF7iUQO3xHFWFVTxoH6wPx23YgiR1ASNL%2FbQHARH4kMZT6dz4lWF3vUzXObg03F60PaZnKOkGw7PsoC66BhOvmIc16rlO1gRSTkwj4Q9czcfdEWjOJpeRIAdQv%2FfipyuZS4%2FOg1km8z6jESzlmxCp8aXG%2FbWTTkE326rZMqDZYmQ7GenBFn8t69bzEQzDtSL0oPbE0kBXtQM%2Fedkw%7Ctkp%3ABFBM-L7Qnulk,
EGAMING Mechanical Keyboard Compact 104 Key with Gaming Software Red Switches,Brand New,"507,765.99 VND",Ope,Sponsored,https://www.ebay.com/itm/226295800974?_skw=keyboard&itmmeta=01JD4YM3WTJ2XT3AT6JNHQ33F6&hash=item34b047e48e:g:kksAAOSwOAFmvjnC&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKntM79KUnyHQ0kI8qzvYTmUfNA%2BGLt5bMR7qICWIlr2ESKuJGIsAHhphNT6ghiFDuOWSaFkJ5%2BxLFnaZHegu7grvYXm4Kv%2BG6KyaWKsJbg3pBHhbwaq8VcJfYoTHAvCZPwY12S%2FdMBdDYUqQ1JErWX3sOVWl2ki2SUxL1VpVa3NBNioAKh9nMSnkjueXTXx5MiDhfHBLAD6vr%2FE182JYr8EYsods9RGEXD0V4BDuvnX1w%3D%3D%7Ctkp%3ABk9SR_a-0J7pZA,
Corne MX/Choc v4 - Split Ergonomic Keyboard with RGB Backlights,Brand New,"3,318,220.72 VND",Ope,Sponsored,https://www.ebay.com/itm/166749582328?_skw=keyboard&itmmeta=01JD4YM3WTP32XW37K1V2ERNGQ&hash=item26d30cb3f8%3Ag%3AXfEAAOSwYJhmW0Mz&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKnLh1Sn87ecGIl1rajvrruBacYkhu3jwTddCBv4V8h%2F1aBtRo69zVih394mwrcA8ENinip6ZaQRF82PdfA7O6%2BKrJNlqSNG8jp0WYIsn7JC2knk38T3L8962DVll%2F8FZ23DRdu7DCzeXWrsz%2Buds1IMVV8DkRAM4A9aJL5HWr24UfPGol03W%2BysS8oel3w7sFb4wVs%2BZX1RgHyJpjg7me%2BCji1058JTC2sSdbPRJ3qQBT7I7QQp6qwYCV95SgAFWe96e%2B9XrN4%2FM9EpJBoUkJqm%7Ctkp%3ABFBM9r7Qnulk&var=466654176677,
Apple Magic Keyboard Wireless US English,Pre-Owned,"634,770.99 VND",Ope,Sponsored,https://www.ebay.com/itm/116379444824?_skw=keyboard&itmmeta=01JD4YM3WTBMZ52AZVN7JFME2K&hash=item1b18c16658:g:wJcAAOSwJztnJ4KG&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKklFGEZLwvkTvcrE7zehoOXRawHAem7Y59EeZKXbJZTwiFsHchIbBvygAq60NZPlt3ROKYffxXLHZ9CzowwjRL11VP0A7MfiLFlLfVPt1SGr1WSBi0AVOwWf1gHvETo5lihVvJhRdSgFjLpWVfG4UZ%2BrIgddjZVVVDW1fn20Qmf%2BGWVGLEC0SPJDErxbtwLuqzlc%2BTtJwXpSjOF3QnPmB3gtELzFHrRd61sZqBN%2BDg98FsSwhTP6p2sYwsoRqE1hNEk5sUzcu%2F0Jg4k0vUZA1dx%7Ctkp%3ABk9SR_a-0J7pZA,
Rugged Industrial Stainless Steel Metal Keyboards With Touchpad USB Port,Brand New,"1,651,065.00 VND",Ope,Sponsored,https://www.ebay.com/itm/126449975526?_skw=keyboard&itmmeta=01JD4YM3WTBKY65QBPDQ75HXYK&hash=item1d710180e6:g:0T4AAOSwRz9mKjbZ&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKnLXCFR5dKm1Sup8GwIBEEcJrSOjH%2Fy9u3a6EbtRSmNP9%2BWpW4FWSzeYqiaKQGJmHy8LDJyUSp4%2FATpm6k8YegRFIPfoyMNfUry8vMhNu2GQGlcQ%2Bwdma%2F8hu59Wa2kBwkp2hSwmb%2Feo4Q329YI2Pm34F0egrR2y5SrGXYxuRFDHGOA9m475CWLiJUUtijGE3btmnAnQ2q%2F5HoWxuEYmDKshx6GfuQydigmQ38ouvNpqKhz5zOoRAriPfOMOFdWud6fhOjW8U69kgiKyraaWk2R%7Ctkp%3ABk9SR_a-0J7pZA,
Microsoft Bluetooth Keyboard - Black (QSZ-00001),Open Box,"659,155.95 VND",Ope,Sponsored,https://www.ebay.com/itm/284643712668?_skw=keyboard&epid=22034896933&itmmeta=01JD4YM3WTCVN9240B4M29VQF5&hash=item4246165e9c:g:BUgAAOSw6QNmjZVb&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKne6eN6WIPTUhAIyq906neISwyTGooxhF8qjh2PH%2B0eVdmp%2BKnjaTG3qP0uCJDecksdw4slpkQ43V80Szu6lqD3s%2BcWcX6f6hjMtD6OT3imbUYwYQ0xyGJk8fa3%2Bro7L4mo7COParKOe9MdfQkISBP2imbZgL8uT5u5XFzZZejaNMuNgJBnC21ILbT0M%2B7XOEXNeFzebZHZagWw63KaBzGrb7ZxJSNtmTbx%2B0UvBaaFaEDHD5p6%2FwNZl6TMFcGcX6PzXksebri07x6j%2F0W0l0wM%7Ctkp%3ABk9SR_a-0J7pZA,
HP Wired Computer Keyboard SK-2025 - Black -standard,Open Box,"533,166.99 VND",Ope,Sponsored,https://www.ebay.com/itm/145920244320?_skw=keyboard&itmmeta=01JD4YM3WT5HXC7NAZSDA6GXJP&hash=item21f9863a60:g:B~MAAOSw6jVmqQye&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKmac4a047e5I15ykHuJam7KgH2LswDeKCACdYKCYPiqk88ZaRKnzX9SiBSGL2It19xpNCxEMrFShx9%2Ft5c2XkER2OeQdCOrZC9FTXPojWfi6ylEavD%2BB5ot%2FGGRPh%2F6PVY3KgFaanXi0qxDOW2QO0bYYR0%2BeO8nZAz0rK97bdHr4v83HHxENR5q9R964g3RUHtMW35eqQCn7S214BF2gnFsREGVnKJvm9S2u76JJpuZ9uUGCFBTAY7EcbcX8617FQp219HeiYzsDxhPEfWBtw2R%7Ctkp%3ABk9SR_a-0J7pZA,
"Lenovo Preferred Pro II USB Keyboard, UK Layout, Pearl White Classic Retro Style",Brand New,"386,240.44 VND",Ope,Sponsored,https://www.ebay.com/itm/233669265019?_skw=keyboard&epid=26031877635&itmmeta=01JD4YM3WT4CN29GY315EEMFNC&hash=item3667c6067b:g:4DoAAOSw1LpfKArN&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKmovg7pWB9AXTPZW6rvlCCfhfbORGbOpsIQquk3JAZzOhZCzWQP7DemFesyesPk9zjjxD%2FkA5dTjI%2FOVKJPZskkGNw1YVRD2smk9s8xs7qBrPOJBPdipXftfnwgORI52lJQCEc7OeEAB4ycE%2FH%2BvY%2BsAIOoDt47RY%2FZsdlWetwyIKzbs1k8CBx%2F256jIlSxBJXBm%2F9TXMltSAZ73kbsi4phFmqQI9HW8ZuqWZDmZWn%2BXF15FM1g0k7blDfrhNEky8Nw7M75fezd3c9pAzVUTPR1%7Ctkp%3ABk9SR_a-0J7pZA,
New US Keyboard for Dell Latitude 7410 14-7410 2-in-1 Backlit PWJCY 0GMM47 Black,Open Box,"378,474.90 VND",Ope,Sponsored,https://www.ebay.com/itm/196629278071?_skw=keyboard&itmmeta=01JD4YM3WT8Q58PJ9WG30VARDS&hash=item2dc804ad77:g:MRoAAOSw7ypm4pZk&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKlSo%2BXRPlAA2wfk%2BMtNouEKhUQRrFU2hCTyPE%2B%2BL91agkzaiAhRMl7bAQIbTxde8iG7w1YFn61cih%2FOlosQWKYCsI1mlGAVc5UjhwroOdJgEId3hbeTu7GG2BqwG0MH0IB5b4TUOsavq%2FwchpwT%2BqFJdTYOqy9AXC6etuU6DbzmteFKY7nTIY3pR%2BHhiUq4uc6nA%2BwExUgLsvSYIPMT3QsT4BLSv8QhTKJRit096leJtg%3D%3D%7Ctkp%3ABk9SR_a-0J7pZA,
Targus Compact Multi-Device Bluetooth Antimicrobial Keyboard - AKB862US,Open Box,"279,156.99 VND",Ope,Sponsored,https://www.ebay.com/itm/266980880072?_skw=keyboard&epid=13049328657&itmmeta=01JD4YM3WTBAAJ0T8PS3A1EK7R&hash=item3e294ceec8:g:wAQAAOSwtAZm25Bk&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKn7ykVatjPTGJlq6dcC%2Bh4TXJqlWDqJeV75IJJEX7OYkjgb6bbnVUh%2BYJKYw864t5t59NrztYL7j4BRS0X%2F1q7SekXJ3WcwAhU33o71luYXsUoBp7xTRZ1lWF6eXpob77RaPaSayV6C%2BjcG5cR9cMrJxwc8LSNugMoomAX7pMz6Rd8tpPnUUOuICl69l%2FY6M3W90%2FlR41uq6PrCAXU2AcqMZKwXLy0nvF121yxijChg2A%3D%3D%7Ctkp%3ABk9SR_a-0J7pZA,
Rechargeable Backlit Bluetooth Touchpad Keyboard Mouse For Android IOS Tablet PC,Brand New,"280,681.05 VND",Ope,Sponsored,https://www.ebay.com/itm/204533583586?_skw=keyboard&itmmeta=01JD4YM3WTMMHMR22J95DGDM6B&hash=item2f9f26cee2%3Ag%3AKQIAAOSwCzZlShjX&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkC4%2Bf0Chdm6J%2FsyR7k4lmorclGnNLy%2FwwKrWm7UxUDOBNEcUJsV222NwgSb0S%2BJNN8JhsLbkI6DHh2LAvZKuujQM7xi4IGFjdNEOy4BO3oJxbDg%2BllJlU0sQKE%2Bj%2FG7Alae8ZoAcSgHe9GPQCAULk77nehF1pxRaj3RTyVsvzx%2Bo6eWCnp1KkOrxas37X6an6FMKuyl3Z4AxjR330HhMwLeKRLsuEDzGiBg1wHcIHasXVYA4Ym%2BjmFfq%2B2Yu8ce2xL4NeYGNtbNjwQD4iNQ8TJ%7Ctkp%3ABk9SR_a-0J7pZA&var=505118346912,
BRAND NEW- SteelSeries Apex 3 RGB Gaming Keyboard Wired Black!!!,Brand New,"685,827.00 VND",Ope,Sponsored,https://www.ebay.com/itm/226166296195?_skw=keyboard&itmmeta=01JD4YM3WTSD4W94GAS3P60XAB&hash=item34a88fce83:g:I6cAAOSwUV1mJpt1&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKlgo0DLKMLgLGWwgV3gvCbITMfcYwCY0x1djAJta1TtG5qDT7jmkWipb58aAK%2B9pDN1mb7HzJSXbX8qEzximwIJMKrcbjdOIXxSCJ%2FwngW61KOE2fdpYoHgC7qc38jIus%2BMNadV8%2BWbeIW88JbjBuTfGgHN%2FwqP8Wd3eFR5OZ8zGwxJC5z%2FfR0QjJWo%2BXxgjeoN0pTQwBLP511Bm%2FWKuDucsg2eDtGsiwVeH%2BsmPx%2BUQQ%3D%3D%7Ctkp%3ABk9SR_a-0J7pZA,
Microsoft Surface Signature Keyboard Poppy Red English French Bilingual,Open Box,"1,777,815.99 VND",Ope,Sponsored,https://www.ebay.com/itm/276702110987?_skw=keyboard&itmmeta=01JD4YM3WTZ15CH35XT5H9SJX5&hash=item406cbb250b:g:cCMAAOSwr3xnHBOH&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKmeiDEU0dXUqZMELUZWmXb0%2F9AM%2BG%2F3sKbSELMYEWyOS7WK7BKRPp--9vl0NHCVPuCKTDLA%2Bx%2Br09BgeT%2B4MgMnKJBTqQ3bEv2IRG5kMR2IQqTObCFQXRX5cnPNIQDUNeUzd%2FgHQeIfbpo6Rkq5vDriypGfWfUqnvYRyw6XpGPql%2FHuDVaxIYmLZJKsn%2BcMS06GRUxVtU18TguB%2Bwb1bD0jx2tZejJ2S1zGOyrkk8P50Q%3D%3D%7Ctkp%3ABk9SR_S-0J7pZA,
Lenovo Preferred Pro USB Wired Keyboard P/N: 73P5220 - NEW in Box,Brand New,"281,896.95 VND",Ope,Sponsored,https://www.ebay.com/itm/186741886576?_skw=keyboard&itmmeta=01JD4YM3WTC6QWQ4FXQTMJWYSS&hash=item2b7aaf0e70:g:-wsAAOSwxglnF0Ya&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKn0FBa5DEpoOzBe%2BkRbctZlL55Ss1sFtEudgqlCdfJ%2FM3g%2FCDXtJN8vPpADLPmOCJ0XfVHMuWd8GRXpajg4ASXviLZbfHUZWDBey6R1SZ6IfWLvUPff0jS7%2BPz1f6WgHqKowJQyL5CHRULb0Q%2FVXsylDNb0JetWeplpjIVH6LJD9p932tGeMgojqrnHs8ko0zM%2B%2FGtP5eXeqbo9kQIcXIkcK5m0n3J0H55Jh%2FCJSYkbbw%3D%3D%7Ctkp%3ABk9SR_S-0J7pZA,
For Razer Green Keyboard Switches for Mechanical Gaming Keyboards RGB Switch,Brand New,"138,342.58 VND",Ope,Sponsored,https://www.ebay.com/itm/394054446119?_skw=keyboard&itmmeta=01JD4YM3WTR85VTZM2S74QP4V3&hash=item5bbf79ac27:g:k3UAAOSwqHVlW6qB&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKm%2Fuf95%2BWc0UKFafBFq5yI8fvTCYjsD8UOkp6QEQenvdhwFvgtpgqFJFeLPfN1jbrruDuQK%2BERYuNVdzsgwrMq55hvWfyrI9nhNVSnREMH0ouLPkf3L0TIgXorUca4%2BD2ocP7UYEznuIJenSJOg7pQUaZ7UqAZ1ChYFLcY0aQdPoWiW4D6ZyO3EbCp6pWOTfK2vlckqmTlJo8PZVbMnS9yilBVGhBXRHo6rLPM1OFNSJA%3D%3D%7Ctkp%3ABk9SR_S-0J7pZA,
"Single-Handed Usb Gaming Keyboard, Wired 35 Keys Rainbow LED Backlit G40  Lexon",Brand New,"450,667.54 VND",Ope,Sponsored,https://www.ebay.com/itm/126327349177?_skw=keyboard&itmmeta=01JD4YM3WT6RMF0WM75RN26RM6&hash=item1d69b25fb9:g:21QAAOSw~ttlyRU3&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKmk0fFIb2d5nJx%2Fjj82dtE3vVZeRF%2Fs0o233l7J1bNvtrCILWDOPh5iVyXyGFU9rnO17tj%2BpRYrfG5Yn0BZUDhIYLR9QY07kr937RS6thUSyI5PeJJZMg6PL7JauCHmT6iocNA%2BwAXGrolVaxnyUyFHTHzw6qg9DQc%2BoLWxVFVNmXGGkfRfIlZtRjY%2Fy45c9BOKBWF9aq0WhKLNBXS%2BWqnSD%2BkbK%2B4ez2ubQ5zIqkB0Pg%3D%3D%7Ctkp%3ABk9SR_S-0J7pZA,
Gaming Keyboard And Mouse Set Bundle USB  3 Color LED For PC Laptop Xbox One PS4,Brand New,"434,560.77 VND",Ope,Sponsored,https://www.ebay.com/itm/184169168220?_skw=keyboard&epid=26033679985&itmmeta=01JD4YM3WTN93YHM186XHW1RYN&hash=item2ae1567d5c:g:EZUAAOSwZGFdSZem&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKnaWe%2FGdX2UBIm2yu8xTGsOq4B%2Ff8nXc8W7P8nyiZ25ezfy%2Fl3ISSadR%2Fn58pqiqD0vmPBJhZGnXRsPFsL7uXYH4TfVsugqBpP5KXq%2B0zYpZvVhN1gAyyctcJIKe1CqYtKLmbHPxwpEddAgTo2XTUOePkkjRNkpPBbpKt1POtdY8%2BnslIODF9afs5Ok7sdFBjTN177aBwgPSOx4954LU2vC4%2BJPlRLvvPsZPFDXdmq47krRZr%2BGDaos6uUFZgtccCg6t%2F4fnqUHAi35xUBjtyDs%7Ctkp%3ABk9SR_S-0J7pZA,
"Wireless Creamy Mechanical Keyboard, Hot Swappable Black/GrayCreamSwitch Green",Brand New,"837,978.99 VND",Ope,Sponsored,https://www.ebay.com/itm/335570644711?_skw=keyboard&itmmeta=01JD4YM3WTTAF7VVPT9RZFJYJ5&hash=item4e2191aee7:g:n54AAOSwImpm4aCS&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkkmE5m7dm5KJ6zz4%2BZujc5w%2FsWateKdC%2FDK86XE3rhfEBIx0ev2LE8flnN2ERUkZRbMkKOXwWbddbo%2Fd%2BG%2FXFJeTBRQsttsHN5n1hWxJNw4iYTfhDYvhgivRcRl2kRcL7RNaFe9NZOIrpjpqslCk3JjUG99tn%2F9fNjqaar%2BqUlOOTYxY6D%2B1FqKLZvjBFealIV8VaClbaQ9PSE7dswDB7KVUlNj4xklV4EaLRnzg35DhLQsiP8x2RYOTjafUz7Fv1ZAorY3wbcg3XdqLZBhLqK%7Ctkp%3ABk9SR_S-0J7pZA,
10X-50X Switch Keyboard For Cherry MX RGB Series 3Pin Mechanical Keyboard Blue,Brand New,"133,228.75 VND",Ope,Sponsored,https://www.ebay.com/itm/155217012538?_skw=keyboard&itmmeta=01JD4YM3WSC5BMNKVJDC63X0DJ&hash=item2423a7a73a%3Ag%3ALbcAAOSwqrhjUhbG&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKkwZHQp9QsTFvJAvmCjYbyLN5VRo94BGUBOx1%2FC6NSi7mzeA%2FSKiLMPCiwYGHulFGPbjvYv3BdglOvJkGJnZYWDTs1%2BpJfiIYRpgMjuv%2BpICwnN8uL1jZiRNZ0NF7zXvChzulwub%2BOJDE3V%2BrZlsm8Hz%2Flisd4GymHAgqRSMdRkwpTmWSpeKIBxUJT6dD0n8yWqT1XVUSHgfR8zZ%2F0xbiCg5b8XUUrgXQfUtxrj2TlY9A%3D%3D%7Ctkp%3ABk9SR_S-0J7pZA&var=455404218554,
OEM Lenovo Wired USB Keyboard Black KB1021 SK-8825,Pre-Owned,"289,571.40 VND",Ope,Sponsored,https://www.ebay.com/itm/176546079118?_skw=keyboard&itmmeta=01JD4YM3WSSAY149V335N65X6C&hash=item291af7618e:g:XSMAAOSwM89mzh2m&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkL6%2FdlQdETH0QNqbfR3agzeCNo2o2SR33PgYEuQTTMhGbgHyogss79q21vzUUF%2B46YvyXF3tq3zQDfeudH0rkcfrpS47i0JMuHwRpSki17ERQSK3xzxZG4FfCn574QZZNzuZeu2rC5SxNSeNA8Qst4eRpmf2fdvvw4OTeYz7vV9kBkAVVVilQN%2Bz%2BCnOYuVY3yZi%2BzFTwE3aPpSkx%2FOs12EQV3CeASqcaOcFoYlD4hrnDmgr5L0dGEMBJC5yt%2F5SCLSHjZ%2F3uPnGEh3lF%2BYhSO%7Ctkp%3ABk9SR_S-0J7pZA,
Outemu Switches Mechanical Keyboard Switch 3Pin Switches Linear Touch,Brand New,"103,353.21 VND",Ope,Sponsored,https://www.ebay.com/itm/325795575510?_skw=keyboard&itmmeta=01JD4YM3WS23Q457A3FS6JX52X&hash=item4bdaedf6d6%3Ag%3AN8IAAOSwFrFk8Ycz&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKko6wnDcGIMpeV3EauCqODp0Dp788eqY4orCWP%2BVplvgzZuBD5cQxX5fU6iGz1Rebsqg6eaio66DCGTyypVISt9HTznnpgfYduECUZV8WxWRexbIAQaisB82812pPOvF2a3GjVqRJO02KLaTs7lw%2FVmqw%2BGCXDqgPA2Vqc8V3FBK12BD%2F1KQ%2BUoC%2BnagHxQ%2BOiztGnP3y0V9wccYTcKPw07hDaKJ00VK0oS8Cpjz8Twvg%3D%3D%7Ctkp%3ABk9SR_S-0J7pZA&var=514801987382,
"2 x Universal UK Replacement Keyboard Stickers QWERTY Laptop, Desktop, Computer",Brand New,"125,310.70 VND",Ope,Sponsored,https://www.ebay.com/itm/204476123462?_skw=keyboard&itmmeta=01JD4YM3WSY3KMEMY51RGV62MR&hash=item2f9bba0946:g:ZPwAAOSwqr1lEfDg&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKmeS8aq%2Fb5HIC6KT7qVsT6DPhD%2B8LvurMCZ5FHZ6HZNib%2FOPd9M0endaSCGRWIpowPWNjDcM2SogUL6D6sOraKifVuz6B2MXD%2B%2FehQl9g4gprM0tMyJ9XY95bcYnJFrP6nvmpvb24ceSzmrsot1B5f8pieBTjLMi8S2%2BbAkcCcNqwW5RcHKY5zL0%2F1tLB5SlEQ6SW6FGDyyGB2Z3ZCh7ngdfapbFv0%2B9lw4DMnb9%2BHhxQ%3D%3D%7Ctkp%3ABk9SR_S-0J7pZA,
Replacement 6 Channel USB Receiver Dongle For Logitech Unifying Keyboard/Mouse,Brand New,"185,550.04 VND",Ope,Sponsored,https://www.ebay.com/itm/315441067883?_skw=keyboard&itmmeta=01JD4YM3WSYPHGZ7SAXXBHQAXF&hash=item4971c0b76b:g:BhYAAOSwmepmbU96&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKnYUvT4ZMAr%2Bnl%2FwVNgU9m4YrFd%2BoANFM9RKSOiiexh4lRUthMjOT42qInJT8nv9HIQ1Pz52MZDAn%2FEDwhk8tE3Q%2BhToenWp7xY6B79t%2BhbnYtHQ9RF63ffmVUXvoyoTdzzNH3yB9KogDmIRVR9J4MeMCqMvDa6w9doxdpZTQkco5B1edXA1MhXZY4Oidi9VD8jQoEwgccTCf3DVB6xt8f4ERKu2uZrV5uzdrURz2%2FQ0w%3D%3D%7Ctkp%3ABk9SR_S-0J7pZA,
