Name,Status,Price,Stars,Ratings,URL,UPC
3X Cable Protector Saver Cover Android Iphone USB Charger Cord Against Rupture,Brand New,"19,823.57 VND",Ope,Sponsored,https://www.ebay.com/itm/186118288851?_skw=cable&itmmeta=01JD7GMBRSW5Y1T3W1VGGDT32W&hash=item2b5583b5d3%3Ag%3AqJEAAOSwtYJk8EMd&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKl%2FHtBvKv12sPjAMhx8srT%2FopvZMjTFZDAZ%2Fa8JDYhuY2WeJazcdk89pooKr8by%2FCfd9iiM4tiDq9Y4Wky7LQUfCqPwD6I%2FHlp1ckJDd7ISBCww%2FG9e1g3%2FEnZpzOSwLawbuLVimqycCXLNQyk0dsi%2BR5BCRx0Pq4X4RiuRiBJEKyKM55n9uvmw6XQOYCQkOVhXSV5K%2FDDhyqgwMjRjBmpJnmCh%2FkmJVzqgnz%2FQN7bpkmUEXOAJ%2FdyfCZNk%2BVwHiLiiVv0OS7kBgs1Wb%2FXhcMN1%7Ctkp%3ABFBMiL3R8Olk&var=694134400050,
120w Super Fast USB Type-C Charging Cable Braid Phone Charger Lead with Display.,Brand New,"95,055.84 VND",Ope,Sponsored,https://www.ebay.com/itm/365094332187?_skw=cable&itmmeta=01JD7GMBRTSPQM8S37QTQE7ZA9&hash=item550151671b%3Ag%3AehAAAOSwYUhm0Zi3&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKn1HFFT1%2FYd6q82ee9DHWdZ3e0%2F98Vt4q6bOgQHwL%2BhkCcDgiZ6HFm47J5GFFIZuF%2FyAuvrjBV1sHAEqiFCfwYGGhnCbso1NR1rxHWNRCAhc3DTCZz9HxpM1aua6IfRFOh7YDfkyE8ddtOV7XMdCXbryQMHudpCsvcaIEsRB0hFBPkBlZmhmQPchx%2Betj%2FEHD8FnsmqbVS8IFtkOKpCiO8Q%2FFWcJjBJjrED9lfRF61YKgdMPsAIB6bmKpEVI3HC25Mx%2BXkoUtTN5CaSaOeVwBqe%7Ctkp%3ABk9SR4i90fDpZA&var=634737998789,
USB Data Sync Cable Cord Charger for iPhone 4 4G 4S 3GS iPod Nano Touch 4G,Brand New,"150,716.88 VND",Ope,Sponsored,https://www.ebay.com/itm/404056933355?_skw=cable&itmmeta=01JD7GMBRSJDPRSM6ENB7GJ3VV&hash=item5e13ab83eb:g:SI0AAOSw8SJjnGav&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKl8snyfN7rAh1sJtGunvqmn0OXxtGQMXS1OzXQ8PMwnom4hQuXEgOnWd9kQ87E3oOFB%2Ft1685thjkhy%2F0mTXDAc41MfRgu4YgMFVbQ8KnZMtccCFhsUwV0usGd5MurbL0v27j9lX1AeV%2Bk8VPcFZqCCKBMIqFwmE%2BujoIZ4OPygtTfz0rnwSy0%2F2ashid2dURsYPzQB08p11seRMzohCzO7T6yUxJu7yJu6jiqvRyjGMn50xKJS8Ew5xGVaUTK1xS0YgZO2NepdFwi%2F%2BGOGW6g2%7Ctkp%3ABk9SR4i90fDpZA,
Apple Lightning to USB A Cable 3ft. (1m) Genuine Authentic - White,Refurbished,"177,657.84 VND",Ope,Sponsored,https://www.ebay.com/itm/134700416349?_skw=cable&epid=134466773&itmmeta=01JD7GMBS4QAN1CFGC6KAN5R0Y&hash=item1f5cc53d5d:g:9HoAAOSwiSFk94FY&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKntFfFZCe4e%2BK%2FxQD36cud%2F3Q0WZTIS%2Fk6tOYh52Pf52vmuJfiBFHvn%2BLAb9dAb3VMQmm4y86jVwO40pM1QXjiYFgV0V4vykZNgLfAvs97wHvHwvZewLbqhQ8Qy6%2FnRbvkpE1afi9UfME8PqdiGSdYqLolXwYKFvkhHj2vE9gVc9Huqn%2BmS7mNGxXbsz%2FHC%2BALZJJqkyM3YUuRJJhMYJUbZbD0QqRGl1fGrc6tjuJDwV5sE1OVzkEJHJiVtISq11v3p1Vqube255goIEYwccdt0%7Ctkp%3ABFBMur3R8Olk,
Xiaomi Original 1M USB Type-C Cable for Fast Charging and Turbo 6A 120W,Brand New,"259,946.71 VND",Ope,Sponsored,https://www.ebay.com/itm/156104446443?_skw=cable&itmmeta=01JD7GMBS4ETC4CQKTY6T45D7E&hash=item24588cd1eb:g:tOwAAOSwWJtjCNnG&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkeV2w8S%2BOUXEscd%2Fjrtf%2F8xevwQHML4zoPRuXnU442hwu1lYycwkrO854eBtIng%2B009PHnQldOQKefyW%2F7cqTAtbe5QXWzMl1Hy58v%2BIhEcY7twXhGBTWPxwsZrzul9LJdX%2FA40PUfazsdIbbvurh1ne5F0K5DyOb%2FDNQ8WfW3A4RX0H0pvE%2FEtmconRyTFjb7VuhIKjxT5PtZiRuNVdACO7Jyjkk4sUk8az6tS--%2BWRDXsPFOMAivY5pMINBEdMOtgSVSdW9nME2G%2FO4cIMEH%7Ctkp%3ABFBMur3R8Olk,
UGREEN USB 100W 5A PD Type C  to USB Type-C Cable Braided  QC 4.0 Fast Charge,Brand New,"221,557.07 VND",Ope,Sponsored,https://www.ebay.com/itm/256580833301?_skw=cable&itmmeta=01JD7GMBS4QJ07S7R1X27KV6ZS&hash=item3bbd68d015%3Ag%3AFf4AAOSwMcJmn-uV&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKnSrytbaZtYMgK5uN21PLr2l5B45tlFq6MfHQvG4bvTsPZ%2B%2BlmmfqkB2IonLc6OGzrhvANdUaVG2Cv%2FGGi2j74UIHoCIUBwSCGrHJwRs%2Bla%2BFz%2FAvTTOE15Yywvb%2FPgvh8ySNAxZiNmSEv9PZoUGfNwTnBFpkBseI3gtVfxsGzyx0%2FC6xAbTytm7URdDCWcbDkvcW5%2FYzcpm0frqvJIFq25jo%2BE%2FDP%2FLSp1vzUv%2BOuxpw%3D%3D%7Ctkp%3ABk9SR7q90fDpZA&var=556850882646,
New White  Replacement Type C 3.1 USB Cable for Samsung  S8 S9 S8+ S9+ 1M 2M 3M,Brand New,"63,991.08 VND",Ope,Sponsored,https://www.ebay.com/itm/374477034859?_skw=cable&itmmeta=01JD7GMBS4GG0N43P5XMTE4Q5W&hash=item573092156b%3Ag%3ARnEAAOSw0pljzxg6&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKlUCQ9jL1efB32AMBoNzHEJAJEP9i0W1Hb01kwsw04Anhd2VkbbUIcyRuNzqi5eA9Hya8LB6yhd%2FLezLaxqtFJzduA8A%2FjhYgKlSooyATGW%2Fl2wL3OG58ehAO2LtrLxA55oCOnJlw40YIAYuaS7UB%2B4J4WAJLGq3UoMb5%2FYRP3peWoYhFXpKGdsSZPklUoaQo1v%2BU%2F3aNFSO7UcXpJYn3iVV%2FZiBcRL6WyBzSVQphSlmQ%3D%3D%7Ctkp%3ABk9SR7q90fDpZA&var=643430420472,
Type-C USB-C to 3.5mm Male Audio Jack AUX Cables Adaptor For Car B1X0,Brand New,"51,128.55 VND",Ope,Sponsored,https://www.ebay.com/itm/145806106165?_skw=cable&itmmeta=01JD7GMBS4RWFPVCD1QT1SS3RG&hash=item21f2b89e35%3Ag%3AaPcAAOSwhD5il704&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKm2iX1DnQaOF5P0AdDhGdJnA0xDObRumIqPfQON7v7hLbZb90iRx%2FkKKjh8wylbaWfu6%2F7gOhjw7rDx44pQEgiBvfhzYSkGjzX5OOItl9hhiQ1zQvu00K1McXJa2UAs5oBfdr73K5uebFnLXRpzHC06Zu113tDEIXCtFsK5RCAGeWdnNDSwzp87PvcjmmdL3clyfNWAznGatOz5bE%2BKcKu4wIkPNj7GoqfHUNI64PqpPjDTRT%2FARUv4nW9RjA9Yj%2B%2B7Fq8S1apT6%2Bu6m8Bk9XcL%7Ctkp%3ABk9SR7q90fDpZA&var=444895367639,
4 in 1 Multi USB PD Charger Charging Cable Lead For iPhone USB C Samsung Android,Brand New,"123,801.84 VND",Ope,Sponsored,https://www.ebay.com/itm/296753673210?_skw=cable&itmmeta=01JD7GMBS4T2RG15586Q319JFM&hash=item4517e5b3fa:g:TUsAAOSwvWBnDoPO&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKmg0iqjkWzYB5PXEzeRyDBqWiNU%2Bi9izbQZP2TE76a6GFrospDdKr8BCwx7TX1jsyTMvwxwYC4kGZr3miAmJKHhQCxqaDF7JJ1ditM2qiWjUyeD91LY3ZqS0h8CK%2BmbDPj01Hv7JWYzkoafM6MS1cB%2BMFWDdMg1Wv%2Fy9Y2UO7Y3JCxteTaB9TOjGYhS0Tsp2ad2JM2Yr%2BdeZKalsptB7NbaPWPRewQPVJ1gpG0m6jqtVm%2F7W%2F5C5Cb%2BH%2BypU6tM3rIEX9%2Brr5sRvS86lYXnV4zr%7Ctkp%3ABk9SR7q90fDpZA,
Nylon Braid PD 60W Quick Charger Cord Double Elbow Type C To C Cable  Phone,Brand New,"51,260.51 VND",Ope,Sponsored,https://www.ebay.com/itm/375679961085?_skw=cable&itmmeta=01JD7GMBS4RZN3ZS50R8DHQ3X6&hash=item57784547fd%3Ag%3ABAUAAOSwtzRm-Tiy&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKnNh6eoXjQSDBpTABWzRo0VR2iFyWdmdx3nGKcstDahIg757Q2Rz%2F52AKDWUReBCDm18vag7F3EpNrhggUJHilE1tc7shwMm2YJYDpM%2FMzbQnjcQXqOEJvdEniQDONIndziC8C6XDjrOK2ncNI%2BdmugX9hNceLtfkmHj0P%2Bp5E6uoEeLx%2BizXwD4LhCVpEDQXhwYgm1WQsQmKhILIsxVo2%2FEHRZmh5M4NKk0ac9OoFsfA%3D%3D%7Ctkp%3ABk9SR7q90fDpZA&var=644599811907,
