Name,Status,Price,Stars,Ratings,URL,UPC
HY300 Pro Projector 4K UHD Android WiFi Bluetooth Android Projector High Resolution,Brand New,"1,607,649.84 VND",Ope,Sponsored,https://www.ebay.com/itm/375695079149?_skw=projector&itmmeta=01JD7ANZ02322TQ1FAX50HKDX6&hash=item57792bf6ed:g:Z-QAAOSwyc5nAnHR&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKn396rbPGpzZhrOV4aqdRo3oiybxJg0DFrWKjZ1kvyJ7jSEr1Yf8wYmyrjo%2FbBVoenA2YJ7M3dNTyLzUus2Yp2XnAbgYYO%2F5w%2B0sJaJPRzu25IrfjAakZxNCGf8x%2FtqnZSfDkYybEuYkmCU2%2B6iIBMWO3kNjaKU6nmST1HWkaLACMpyYga%2FkPURv9vGFhhZDb8S5BO3xbkFJISjGeznN1kEpcDgZxpnjYGZwEZIjLNIMBfi1b8DJKyUJd5dP925JT8fqO%2BQrqgeCQ5W%2F4OCDB2z%7Ctkp%3ABFBMmPDX6ulk,
YT200 Mobile Video LED Projector Cinemas Corded Same Screen,Brand New,"729,726.71 VND",Ope,Sponsored,https://www.ebay.com/itm/326298929474?_skw=projector&itmmeta=01JD7ANZ02PEMNXKSB0WAG6QE6&hash=item4bf8ee8942:g:wJYAAOSw0iBnB5yw&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKnfhI5ZbxppB21ururwuBQ9LQt%2BuD0Dr6ib4IiegD3Y0rxCMLkviR8Mwq92gauQXrlg%2FrZjBcZF5SFHHjqkatT3lfE0wp0sCg8%2BIr26F9KLDJqJYH6d0paqGArvtHX8khBnB6q9kzKnaP0iwrrznkkEsHmS0MnYBpMVfuhciXJch9Wpv3N8rYVy4IMtl6CIObl3eT7EhclnWHAjz81YTFoIywhlXwzbZBAvSXwt63RfEsRr7jwNfFA5VPYCcpVHXQ93e3cZm7W0psOCAF%2BcS0o%2BLxC%2Fwwxa85B%2B18Dc98JDFw%3D%3D%7Ctkp%3ABk9SR5jw1-rpZA,
*Promethean PRM30*0.53:1 short throw projector projector|Sanyo PLC WL2500,Pre-Owned,"5,358,386.15 VND",Ope,Sponsored,https://www.ebay.com/itm/135338419331?_skw=projector&itmmeta=01JD7ANZ02QQ76DSK4EK3KSTVW&hash=item1f82cc6483:g:IygAAOSwDHJnJjEm&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKnvzWiYtrhunZ9WXmNojo25zMTfubNZmlD5PiUjE6MsvQT3bGgwZV3rltSsHPBBDU8OqODL4rkl2qE1HLzlmuwAsuVakeoVolY9%2BZxbXsO8MTyHALDzsaZCxQVkSubZ5gWB%2FCq7EHopLh8y29VIUXceIhSU5Ls87cNWFHkM4c4CroJPQXXTEp9vuRcWZAZNQ%2BcAJwYnLuee35CB54%2Byl9RppTmA0WmKndlTJrS5Ve2u89%2F9cUjTezTePbX3qySDldQXJEsD9qBi02bh7V6rFqnIVE5rgFOn1SxQ3Q%2FwKbNsDA%3D%3D%7Ctkp%3ABk9SR5jw1-rpZA,
P11 DLP Mini Projector Wireless Mirror HD 1080P 3D 4K Video Projector 2+16GB DHL,Brand New,"6,163,417.01 VND",Ope,Sponsored,https://www.ebay.com/itm/176632029199?_skw=projector&itmmeta=01JD7ANZ08922HDFNM9DJ156AY&hash=item292016e00f:g:RcUAAOSwK6FnD4XB&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkRCb8lc2QmhyvFDx3RUBcjM48NZtQigOkLPypC6gZ8d3Q1%2Fg%2FdZsz7jggcvi48c%2B3%2B6UbWtycZFmkn4OwIiSvMZ3g8BJTQ8SZpv074SSSYxwxGAxv4iAEa9uaizJoNHcK23p0skxK60IZwP0A2uMVpQbei4TPsTGkRLRIZz%2F0o%2FWeBKuM1nVoqBKIvfe4MZI8jZC%2Bt4M2aW7YMkkotKGcE8DIdfWH85kLoqORYEgVzhDwvnU9jZEh9fdFHG57c0z0zswZ1zR9T1i26lwpzAXvz%7Ctkp%3ABFBMsvDX6ulk,
Mini Video Projector WIFI 6 Bluetooth 4K 1080P Portable Projector 180° Rotatable,Brand New,"2,483,697.07 VND",Ope,Sponsored,https://www.ebay.com/itm/315704908999?_skw=projector&itmmeta=01JD7ANZ084PCFCT1JQ19WWHCG&hash=item49817a9cc7:g:96UAAOSwbDpmztav&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkR6m7B4XDJ%2BCpGvwfb98%2BTCTrarMa64Wf8kVwJzneugwnrt5L8gLBKOVXiQOlv0YPA3Z226O%2BH1bBOipzg%2BjQyC74fxlR9RsA601Wk%2FYCuiNkQUTZEd8HeIBDmbOylfNAN6G9z%2BGGCo8o0vKAEKsM1bGXa%2BhuN%2BZoLEEjl8IZJoLg6GbISoIxffEKNnCKMYUX3gsDVnnkoQepsKXS7WUqa8SbbQKsi1ysYwNnbIFaDl04gHW2QXPVTXq3Oq9VRceQutvbosQxWahbLqpkPqj3l%7Ctkp%3ABFBMsvDX6ulk,
^^ Hitachi CP-X4015WN LCD Projector (JNL79),Pre-Owned,"1,212,638.03 VND",Ope,Sponsored,https://www.ebay.com/itm/196405357533?_skw=projector&itmmeta=01JD7ANZ08TW777EDXQD4VW3ZP&hash=item2dbaabebdd:g:6CoAAOSwoDtmTJdx&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKkAIeon4Ukba%2BPv1MONq%2FXIfM9ALmW8dFWgWsPh9o4fTZWGkpgo5byvnrqXURQykBNhJQXN4H3qkGfDudeerTEq5RAtFt2i3N1Vj%2BXK%2FnakVRSmIkzHDaBsnZmvl%2F6czfVhBLdVHZmHsEbf%2BUVXLDrKRTbnQ9QqOcfAcNZeflvB75CprXJ%2BNWiaKxKoQPu3VeDemuk8SZSPEvPtXiQtF0BJZ8V6XUY8Cqbz1W3rQP4i3w%3D%3D%7Ctkp%3ABk9SR7Lw1-rpZA,
3m Universal Air Filter Dust Filter for Projector Projector Projector 3M High End Filter,Brand New,"184,910.55 VND",Ope,Sponsored,https://www.ebay.com/itm/115570653593?_skw=projector&itmmeta=01JD7ANZ081Q2Y8SRJFYAJ5JEE&hash=item1ae88c3999%3Ag%3A-Z8AAOSwbZZhWfYr&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKmmSAfx6F%2FN88RniHyyM1bktMsA6yqmjsdGkjrFCmxb6dgLOt7Qr3sfjYpmbt6OeHZ56TZlU%2BhmmKcUf6EwXf2FaPVNSFKy1HJ6Qvv%2Bi%2Fgl8AS1wlYIecfAPFGLh%2BZAbVsJr%2FRx%2Br8SMu%2B8%2Bg6EDMkP0LYvKMlwwQdEAx%2FKDZA4ckZFG9tJgGPB8V3S2iZuIdVhnd%2BvWHE36OsBRj5hNT0sSIJELa1w6uRs6Awm8Bamv9hqmxnWyJvMdjoeoLD7kwra52ObYLmIVhTytbcGyRl3%7Ctkp%3ABk9SR7Lw1-rpZA&var=415591511180,
Optoma EP727 Motherboard,Pre-Owned,"401,979.46 VND",Ope,Sponsored,https://www.ebay.com/itm/256023016077?_skw=projector&itmmeta=01JD7ANZ088E2J0HV67M33QFAG&hash=item3b9c29328d:g:3~kAAOSwp9Nibq~Q&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKkutE6UFzsTM0kDjgTd%2BIf%2FTZryUP70o5qNHP%2BTbXlr4CgQBQffoq%2BzF4KcCe%2FktASOw2H7nqHqgiOFQI3ctgKcdwm1NLtdiNfhDnIjeuGgoa4MUCG0WGzzpEoR8ks2rEuDlEMGTqclaukM19QhJr9apXLHc%2FWFWKFbHiCo9hJKmEkzEZZffjfu%2Byp8aSAMSqdCuvle03tzBaMQN0KyqmyN8IGH68rEYg2%2BN%2BVipMHMYw2N%2F%2BA7eevRULJeVffVupbhUeJqIiLAwAMBziUN6VRbFAq6XzM2bQv5NoBf1xlEaQ%3D%3D%7Ctkp%3ABk9SR7Lw1-rpZA,
Projektor LED Android 11.0 4K HD 1080P Theater Kino WIFI Teleskopische Funktion,Brand New,"2,829,667.38 VND",Ope,Sponsored,https://www.ebay.com/itm/395869557804?_skw=projector&itmmeta=01JD7ANZ08V9H17JCHB06YSBE9&hash=item5c2baa142c:g:1C4AAOSwVadnKcTQ&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKkDF0yS4FxN9FIcyhCvVEUHIuDr1jjjsAHitAqMg%2BfDseJO1ieHQ4Spuv1hfCMcQNuITaNLfN2pG8K5aYcn54ZU5d%2BwA%2Fq6RXarXmGc8j0x99Yo08bm1VuG4FioChkJRLrb2sL%2FNfU1UaZsO45bd7cd6zED6xUoNrxHzUqFci1RGxWKad%2FvxEfY9CQqm9M7qaDMqAWMx9EV0Ep87N2V0xoyTR0uG1iWdNzF1TNz1gfIRXkwaJ4u3mNlIHXe7nY9yyHYk0x%2FZEZr0yw4cCJawAu9nZP%2BbLsvSXAkabGfsFnw5w%3D%3D%7Ctkp%3ABk9SR7Lw1-rpZA,
Mini Projector Portable LCD FHD 1080P Projector Small Video Projector Movie HDMI USB,Brand New,"1,196,290.86 VND",Ope,Sponsored,https://www.ebay.com/itm/166853146795?_skw=projector&itmmeta=01JD7ANZ08KVVW437M9AR43Z5W&hash=item26d938f8ab%3Ag%3AKu4AAOSwAIRmhhp3&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKmc6dDxGXo%2Bq55YtKf3IItcaYRQDNMnJz5NK2zeEq8tE%2BhOE%2BXEbX67Vaa%2BJJofRSr7wRYxi7NnjrSRzFuuJEbg%2FRDiUibue3jgpLYeVrZ2eIDmOG3grLYUceESU3P%2FDt2p6rdb%2FiKcz9bLbr9B5o3%2BZ1suCKINBCH2S5Coz%2B3zPUJouxDg%2B9Am6SmVQl%2Fw%2Blx0J19dbh%2BFEM9mE8sVu73Ny0GPwwxo3eJZaN8ZiWdRwtwIjWF04W227WJFjDoIT7LfXkB4OZWC%2B16Jg%2Fq1s4faNLXdD8qaEDqjJ%2FX8N5sasA%3D%3D%7Ctkp%3ABk9SR7Lw1-rpZA&var=466521562368,
