Name,Status,Price,Stars,Ratings,URL,UPC
"ASUS Vivobook 16""  WUXGA Notebook Intel Core i7-1355U 16GB RAM 1TB SSD",Brand New,"13,978,545.84 VND",Ope,Sponsored,https://www.ebay.com/itm/296584849936?_skw=asus&itmmeta=01JD6XDDC8SATZ2TZR43Z1ZYP0&hash=item450dd5aa10:g:lfAAAOSwh7Bm85ro&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKn1h7Bms1jvGagxnFkousOUaeQEEqQKzF1uVYvjd%2FlmxTVH0EhLt8iQtnYtcfpjpbZAkNOfJvCPecOLRqSBhpcEI2Ryqz%2FUtRJcsRD8695yv8Cnr%2BuxhuNxV%2BGiwGfN%2FCZVsOrp%2FfazmoQnqOJWnvaEzZaA3aC%2BYs%2BI3UgT7TXcSb81fgslABcZslpyV9nCyXG0QQ7w174yzGrppW1DiV8xDYH2%2F4vM8qMkhRPFBr3gw4y2OxoRayQTxnTsFwZe%2By9UbqRY%2BI1Us9%2ByWEZa5SM%2F%7Ctkp%3ABFBMrta13elk,
Asus Vivobook 16X 16  WUXGA Notebook Intel Core 7 150U 16GB RAM 1TB SSD Indie Bl,Brand New,"13,978,545.84 VND",Ope,Sponsored,https://www.ebay.com/itm/305853775541?_skw=asus&epid=24065992116&itmmeta=01JD6XDDC8VEAQ6QC3SVZEFEEE&hash=item47364e3eb5:g:CHIAAOSwe4NnNZP9&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKliil5Q06na5Eh7OpOEuEyxiqpgEcowRt0XzH%2Fmq4xRu44BVFA4P2Qj9lklTveLw21uOIgMwjeT5T7NME7kVLn7UhCvQbS3iu5s2oKbKfi5peXO%2FayqPyfLmNHVDd9RKeFn22m%2FtqrnE8yZVstDPJmL5U7P0%2FEGmspbcpLbwyd6fSw1Fby6XB1KKXr96QAkd52gOSNgYims%2BRXlm81EeBuvXfmiuguhGS7vt%2BGapo7dkMrbYswuHLBkxhzVotCTGF%2BrWsJfwQq%2F99hBjOHWJFus%7Ctkp%3ABk9SR7DWtd3pZA,
ASUS ROG Rapture GT-AXE11000 Wi-Fi 6E Router - Black,Pre-Owned,"1,957,032.00 VND",Ope,Sponsored,https://www.ebay.com/itm/126777571747?_skw=asus&epid=11056675748&itmmeta=01JD6XDDC8EPMWATWF7RPCY879&hash=item1d848839a3:g:twUAAOSwCUJnKCln&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKkqTesiBCk0g0lCa1yGpyO9blA6ZpEvKGVl1VNXMcIPzs8fQekYfhjyhC7plmv23erO8PzluZuERJ1M1NNQOPy3F9TGsC2KtLubPkNYVfRCZJSbn%2FjT%2Bav5d8xP9fbC8BRJbY%2FiBc%2Brb5XCU5rja2mD7krxcsBFu6Wke1zRj3%2Bz3CNntILTaBVA5ZjO8PpLteuTZtdMk%2FHvXynH0LBABgUxLJHj8ORIwUyG%2F0pYxFciiA%3D%3D%7Ctkp%3ABk9SR7DWtd3pZA,
"ASUS Vivobook 15.6"" FHD Laptop, i5-1135G7, 8GB 256GB, W11 - F1500EA-WB51",Certified - Refurbished,"8,876,792.16 VND",Ope,Sponsored,https://www.ebay.com/itm/167069486445?_skw=asus&epid=27061616713&itmmeta=01JD6XDDCK0X7QE0P1P0F9JTHP&hash=item26e61e0d6d:g:ILoAAOSwmnNnK6aF&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKnR5ztNRIQw4hb7EBkTGGH%2FHKWr223R3VkzqTDH2Ihv6KdIZsF8UdiOwXoqdRApqHcLKN5rBbsFCO3XRJBXYLTtXcSDWrbaPELp1HJ7THdVtvFUmK3UBr81AUe3mT1QcEbQ28mGzxKaVqJQ9e1j3zEyk9fq%2FB%2BDjjgHOKHaKE8jyRmaVnbt1YNIyFUwQTKFjFiiyUGJFeszLeKcwhwj1yDBIpsSey6Z%2Ff6uWtQZ2pKgRcKSJGJSPE5jkV8JUS8jrJGEWFYs6Hs8wv%2BexPysfxjO%7Ctkp%3ABFBM2Na13elk,
90NR0300-R00022 Asus Intel i7-1070H GTX 1660 Ti 6GB Motherboard GU502LU-BI7N4,Brand New,"9,343,429.92 VND",Ope,Sponsored,https://www.ebay.com/itm/156250506922?_skw=asus&epid=13044185419&itmmeta=01JD6XDDCK7374CZ7HPGQRRSS1&hash=item24614186aa:g:1T4AAOSwi6VmZzq7&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKlMeA%2BUcOUPUp2W3nhNvGTbKtaVShhw2zeKESA7RmG%2BZNsNIC9qcg7vj7NOmU%2B8Dd6ITLPs5%2B6ZO7EogcKL6Bxq1PQUqL83G5kkIOC3Rjq78wryB6ec1PdBX5cZxMMjH%2FoOyd8xuZiZqO00hCSTxZ8UwZHTbZ%2B6AUgyfEIQ9PvUAVJzrSIcKXqv6aPh3dzttdD5S78AFlYO8b1fVPdu1TKqEDSdjhqyPLv4uBi%2B1tFfRBussfdCfmaoRXVeb7T9D8WTG4uYHsg%2B0R%2BfHcouxyan%7Ctkp%3ABFBM2Na13elk,
ASUS Radeon RX 570 4GB GDDR5 Graphics Card (ROG-STRIX-RX570-O4G-GAMING),Pre-Owned,"762,480.00 VND",Ope,Sponsored,https://www.ebay.com/itm/126784244669?_skw=asus&epid=9026714562&itmmeta=01JD6XDDCKZJCBVEM4QDBF1XQN&hash=item1d84ee0bbd:g:YyAAAOSwpgFl6pIs&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKnCXXyrYBdIMEqz8SmBZjggnpxWF1WA7l%2B%2F7%2F2Btr1fEdfNoxWfYdovy8WLpC%2B3jxNXqt17SlbHt7scbILwyymwAn394bErc6y6YGVCr%2BIF5rxTjFNsOm37vy%2Fw1JWh79C849Rt7uW6Ic2%2F%2B1jQXarsv3n6QVsufRw1yJBFtNEyd1zfV5be%2Fcbcl8vnd0TJRsbNZ5seOuf08Ff8Rlz%2FrvgnMLOgYrXCGgrIWgELMUUK%2Bw%3D%3D%7Ctkp%3ABk9SR9jWtd3pZA,
CPU GPU Fans Cooler Radiator For ASUS X540S X540SC X540LA X540 X540SA VM520U,Brand New,"211,987.03 VND",Ope,Sponsored,https://www.ebay.com/itm/284943234817?_skw=asus&itmmeta=01JD6XDDCK7K33V9WD0X7QTDFQ&hash=item4257f0b701:g:KIwAAOSwXr9jBuNA&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKnyDzw9jqUTAGhND3RPGM4Ld2kow4XbJHbElhvu7bwygNFYU3aGr3BKPx1QieUQrpNamQnd4Fzl8g0FJs%2Bq2NBUDUGjc9j8vVuPKxpkJ9wnnBpdLwPUfSbuKpKpUJiUzgSRoXbcxd%2FB4Iu35%2BOK0wDvnwbFFIUCEwSjqo%2FAR4fSUMPLIwurAauYA8lBxltXEnvHIH78Da4sC7rJoHbD2KbSGzH9AdFRpYHw7x7wRSHeilSKo3dts6%2BYTKgBt3JZavz7OH0GtnAriJjcw1WHaScM%7Ctkp%3ABk9SR9jWtd3pZA,
For ASUS X555M FL5800 A555L R555L F555L X555L K555L Y583L Speaker Speakers,Brand New,"262,626.58 VND",Ope,Sponsored,https://www.ebay.com/itm/164903361407?_skw=asus&itmmeta=01JD6XDDCK4HPJVSCAVV4D0Q0B&hash=item2665019b7f:g:KEoAAOSwZ0VgvxqR&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKnHCd1WXvhb148IV33vW38PamkCH1nk7Bk5ooZ11Zf8v02fO962OWeniYnpV7GNPoWBH14XJdopj%2F6nVjsu5VMswvYxh01tMpVQFnUN37unt30ZgT5LCbnyAB74PxAa0YXkJAObfCtTORNq1cvU0mU0flWUsrDhVXdW7id0Ib9e%2FPLZfn4w85J5NpXze0UGfz9nHQikvdpmtL2OV%2FluEKwT8NrJyZnoBRRrLgiRki6qiA%3D%3D%7Ctkp%3ABk9SR9jWtd3pZA,
"ASUS Vivobook F515EA-WH52 15.6"" FHD Touch Laptop Core i5-1135G7 8GB 512GB W11H",Certified - Refurbished,"7,243,560.00 VND",Ope,Sponsored,https://www.ebay.com/itm/375670251100?_skw=asus&epid=18064783459&itmmeta=01JD6XDDCK62DH3HMWKGJD85K4&hash=item5777b11e5c:g:ZeEAAOSwecdm8zCU&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKloeNF0qvnkCvM6O621p%2FTuzK0Y8n8Hqdl5utij32sEyDpQUxfnbPWgaR052jsz69FZ6IpTis17ybATOK2DNNKowsxy%2B%2B8Lzuq0d%2B3vN%2FH1xYXdfYUlfr2zQiB%2BgQk7uOjRQRKPAT275xZ1BdKEoO109D5AIxbO56Y21pbv48ZlVJln%2B4e28XEYqCc6SvpolfnWGJwoNQrBnns1B8Rdw77hqbKNphuBsayiEm9VHPY%2FHw%3D%3D%7Ctkp%3ABk9SR9bWtd3pZA,
NEW Genuine ASUS Laptop Charger AC Adapter Power Supply ADP-65GD 19V 3.42A 65W,Brand New,"190,620.00 VND",Ope,Sponsored,https://www.ebay.com/itm/314465558729?_skw=asus&itmmeta=01JD6XDDCK4G75C4MRHDKAC9KX&hash=item49379ba0c9:g:UC8AAOSw1wxfhU~9&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkAOxRfkQxB5JDjF3%2FF1%2FtWMQBZH9w6g56MzVr6AG0ktNtr0AaoEtaQWddEnqEliDQhdpMERFz8aXu0C2afEcVMmQHKJ2kNaJgMUo68djsW85I033Lt1%2FnJWBM5jFfm1movLXg45cxu8ckItBkA61yC8Wb485%2FODYymdwREOPDd58Jc%2FvisW3gaZ%2F6gIc9rInj7QbqCPdiEBZWZ2UkfuW%2BQ5oDiC4bG8Ld5l0816fEjNNLKDk6YIRSwYsK9%2Fzf3gySo3wsVjIVNIoX70JhcmZv3%7Ctkp%3ABk9SR9bWtd3pZA,
